Job Catogery,Job Title,Corp,Job Location,Work Time
Banking-Jobs,Junior ATM Acquiring Implementation Engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Lead Business Analyst,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Lead Solution Architect,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Business Analyst Specialist,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Bank & Treasury Accountant,Palmier Real Estate.com -,"Sheikh Zayed, Giza, Egypt",Full Time
Banking-Jobs,Senior Tax Accountant,Confidential -,"Obour City, Cairo, Egypt",Full Time
Banking-Jobs,Chief accountant,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time
Banking-Jobs,Commercial accountant,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Accountant,Confidential -,"Sheraton, Cairo, Egypt",Full Time
Banking-Jobs,Accountant,Confidential -,"Dokki, Giza, Egypt",Full Time
Banking-Jobs,Business Operations Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Trade Finance Senior Specialist,Elmarakby Steel -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Accountant (French language),Ultimate Solutions Egypt -,"Giza, Egypt",Full Time
Banking-Jobs,Accountant,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,Accountant - Accounts Payable,Raya Distribution -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,SMEs Relationship Manager.,Tasaheel Finance  -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Senior SMES Relationship Manager,Tasaheel Finance  -,"Downtown, Kafr Alsheikh, Egypt",Full Time
Banking-Jobs,Banking Accountant,MG  -,"Cairo, Egypt",Full Time
Banking-Jobs,Treasury Manager,Harvest Foods -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Treasury Accountant,Teba United -,"10th of Ramadan City, Cairo, Egypt",Full Time
Banking-Jobs,SMEs Relationship Manager,Tasaheel Finance  -,"10th of Ramadan City, Sharqia, Egypt",Full Time
Banking-Jobs,Strategy Development & Planning Manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Treasury & Banking Section Head,ABCO Group  -,"Bourj Alarab, Alexandria, Egypt",Full Time
Banking-Jobs,Credit Officer,Confidential -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Testing Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E -,"Giza, Egypt",Full Time
Banking-Jobs,Deputy Trade Finance Manager,Confidential -,"Ameria, Alexandria, Egypt",Full Time
Banking-Jobs,Facility Project Manager (Banking Background),Leeds -,"Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant - Real Estate,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,Treasury Accountant,Olam SVI -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Treasury Section Head,Alumil -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Bank Accountant,R squared Holding -,"Obour City, Cairo, Egypt",Full Time
Banking-Jobs,Senior Auditor (AVP)- Operations Audit (Trade Operations knowledge and experience),SSC Egypt -,"Dokki, Giza, Egypt",Full Time
Banking-Jobs,Risk Management Officer,Almosafer -,"Mohandessin, Giza, Egypt",Full Time
Banking-Jobs,Business Intelligence Developer,Egabi FSI -,"Sheraton, Cairo, Egypt",Full Time
Banking-Jobs,Financial Planning & Analysis Assistant Manager,Network International -Egypt -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Scrum Master,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Product Owner,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Junior Treasury Accountant,Energya Cables -,"10th of Ramadan City, Cairo, Egypt",Full Time
Banking-Jobs,Finance Manager,Confidential -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Senior General Accountant,Sky Holding -,"Alsadat City, Monufya, Egypt",Full Time
Banking-Jobs,Senior Accountant Section Head,Confidential -,"6th of October, Giza, Egypt",Full Time
